,peak_time,mean_peak,sd_peak,mean_ss,sd_ss,promoter,filename,condition,pipette resist,seal resist,notes on raw data,notes on analyzed graph,,
4,5375,56.71743912,0.781208453,55.58117028,0.818726746,PGK,20220202_N2A_mp1_PGK1_pos_analyzed.csv,pos,5.53,1.17,peaks at end of wtim,peaks at end of stim,,
0,5105.1,111.9303763,0.761131988,65.6533434,0.769346361,CMV,20220202_N2A_mp1_CMV4_pos_analyzed.csv,pos,5.52,1.58,,,,
1,5106.3,112.1170714,1.260115942,63.51577995,0.889350666,CMV,20220202_N2A_mp1_CMV4_pos_analyzed.csv,pos,5.52,1.58,,,,
2,5105.9,115.3050582,1.588572518,65.7672078,0.691856943,CMV,20220202_N2A_mp1_CMV4_pos_analyzed.csv,pos,5.52,1.58,,,,
3,5107.4,108.3337192,1.700603331,63.34032384,0.817790994,CMV,20220202_N2A_mp1_CMV4_pos_analyzed.csv,pos,5.52,1.58,,,,
4,5107.8,101.8116523,1.983187262,62.0905216,0.823734357,CMV,20220202_N2A_mp1_CMV4_pos_analyzed.csv,pos,5.52,1.58,,,,
0,5104.3,173.6338525,1.301126607,121.0447147,1.417167592,CMV,20220202_N2A_mp1_CMV3_pos_analyzed.csv,pos,5.26,1.25,,,,
1,5104.9,174.0087484,2.400713511,123.5683005,1.600209889,CMV,20220202_N2A_mp1_CMV3_pos_analyzed.csv,pos,5.26,1.25,,,,
2,5104.7,164.0042753,3.887984849,117.5887546,1.620967701,CMV,20220202_N2A_mp1_CMV3_pos_analyzed.csv,pos,5.26,1.25,,,,
3,5105.8,165.6305591,1.177898199,121.334596,3.710688157,CMV,20220202_N2A_mp1_CMV3_pos_analyzed.csv,pos,5.26,1.25,,,,
4,5106.1,155.3267066,2.061574045,121.1646341,1.753605332,CMV,20220202_N2A_mp1_CMV3_pos_analyzed.csv,pos,5.26,1.25,,,,
0,5103.9,103.5152778,2.210009157,66.39086527,1.058986523,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
1,5106.1,91.95471346,1.409388181,65.64916133,0.842928787,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
2,5108.8,90.13091148,2.167925702,65.51387359,1.011004359,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
3,5111.2,81.49406828,1.452532045,68.741495,1.520012335,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
4,5106.9,80.34861111,1.171161553,64.44987592,1.063810295,CMV,20220202_N2A_mp1_CMV2_pos_analyzed.csv,pos,5.16,1.93,,,,
0,5376.9,63.99020139,0.942290939,63.36785439,0.621498819,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,,,
1,5391.5,59.4878246,1.085562255,59.22439864,0.649380629,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
2,5394.4,54.75463578,1.009242656,54.22451159,0.622784818,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
3,5381.2,53.27770677,0.822961711,52.49942253,0.621641886,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
4,5302.3,51.08148271,0.850800139,50.8845749,0.589006508,WT,20220203_N2A_WT5_pos_analyzed.csv,pos,3.57,1.35,,peaks at end of stim,,
0,5270.5,138.1715336,3.363317365,122.452882,1.720143419,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
1,5394.7,122.9653282,0.971107092,120.361132,1.393473389,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
2,5311.2,117.9932169,1.505430913,115.8283217,1.628306628,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
3,5385.5,109.188871,1.928094442,106.7706765,1.889206744,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
4,5365.7,107.3942629,1.833540586,105.8043586,1.492270332,WT,20220203_N2A_WT2_pos_analyzed.csv,pos,3.35,1.25,baseline seemed to shift?,peaks at end of stim,,
0,5144.7,73.62573958,7.596655899,65.39347341,0.878139686,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
1,5369.3,68.42067314,1.425615832,66.3938027,1.036021715,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
2,5259.3,64.09570978,1.090603237,62.63899822,0.896038977,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
3,5388.7,64.54699511,1.072292594,62.82592264,0.953922593,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
4,5322.5,63.54188276,0.792987352,61.14954801,0.875541564,WT,20220203_N2A_WT3_pos_analyzed.csv,pos,3.59,1.37,,peaks all over stim,,
0,5395,73.99456768,0.586367658,73.20117316,0.550792161,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
1,5374.2,68.97936107,0.529380773,68.31510978,0.539602455,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
2,5393.5,64.90505546,0.778782405,64.30405152,0.573857447,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
3,5388.2,62.67418326,0.98164602,62.18362799,0.512535354,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
4,5392.1,59.81828816,0.871429315,59.02411483,0.571861425,WT,20220203_N2A_WT4_pos_analyzed.csv,pos,3,1.3,baseline seemed to shift?,peaks at end of stim,,
0,5136.7,83.18648542,1.360569969,81.56433446,0.990652276,WT,20220203_N2A_WT1_pos_analyzed.csv,pos,4.9,1.26,,peaks all over stim,,
1,5330.7,81.42540544,2.041626539,79.70962929,0.912573036,WT,20220203_N2A_WT1_pos_analyzed.csv,pos,4.9,1.26,,peaks all over stim,,
2,5396,81.61236976,0.72481059,79.75903826,0.93336106,WT,20220203_N2A_WT1_pos_analyzed.csv,pos,4.9,1.26,,peaks all over stim,,
3,5343.4,77.74546318,1.527038463,77.00316565,0.935992982,WT,20220203_N2A_WT1_pos_analyzed.csv,pos,4.9,1.26,,peaks all over stim,,
4,5384.9,76.49381006,1.643681065,75.57952865,1.228457365,WT,20220203_N2A_WT1_pos_analyzed.csv,pos,4.9,1.26,,peaks all over stim,,
0,5376.9,109.2710535,2.014394071,107.6700875,1.247489164,WT,20220204_N2A_WT3_pos_analyzed.csv,pos,3.05,1.18,baseline seemed to shift?,peaks all over stim,,
1,5110.6,105.0120798,1.001616279,101.1667734,1.148447067,WT,20220204_N2A_WT3_pos_analyzed.csv,pos,3.05,1.18,baseline seemed to shift?,peaks all over stim,,
2,5118.9,101.121863,1.343446484,99.45157429,1.20928098,WT,20220204_N2A_WT3_pos_analyzed.csv,pos,3.05,1.18,baseline seemed to shift?,peaks all over stim,,
3,5128.2,99.34797146,1.811813004,94.35175278,1.269883437,WT,20220204_N2A_WT3_pos_analyzed.csv,pos,3.05,1.18,baseline seemed to shift?,peaks all over stim,,
4,5305.7,94.49566522,1.301234545,91.37069251,1.090603227,WT,20220204_N2A_WT3_pos_analyzed.csv,pos,3.05,1.18,baseline seemed to shift?,peaks all over stim,,
0,5393.2,146.9804363,2.111350326,143.0714145,1.874657673,WT,20220204_N2A_WT1_pos_analyzed.csv,pos,3.08,1.06,,peaks all over stim,,
1,5394.2,147.0298637,1.865529353,143.5705829,1.430787753,WT,20220204_N2A_WT1_pos_analyzed.csv,pos,3.08,1.06,,peaks all over stim,,
2,5389.1,144.3780733,0.938212047,141.3778799,1.540390462,WT,20220204_N2A_WT1_pos_analyzed.csv,pos,3.08,1.06,,peaks all over stim,,
3,5339.1,140.6066965,1.525066902,136.8885073,1.499327281,WT,20220204_N2A_WT1_pos_analyzed.csv,pos,3.08,1.06,,peaks all over stim,,
4,5212.9,138.3996963,1.506592177,133.465946,1.526639107,WT,20220204_N2A_WT1_pos_analyzed.csv,pos,3.08,1.06,,peaks all over stim,,
0,5156.7,119.0094409,2.365969845,108.3273576,1.970809697,PGK,20220125_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.8,2.3,,no distinct peak,,
1,5256.9,111.9270274,1.231954199,103.7584764,2.234512493,PGK,20220125_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.8,2.3,,no distinct peak,,
2,5220,104.6525399,3.500959465,95.48745521,1.936974969,PGK,20220125_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.8,2.3,,no distinct peak,,
3,5185.3,106.5619264,1.952381145,99.24892498,1.886412811,PGK,20220125_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.8,2.3,,no distinct peak,,
4,5211.3,104.7175919,2.501403091,97.91103733,1.974929586,PGK,20220125_N2A_mp1_PGK2_pos_analyzed.csv,pos,3.8,2.3,,no distinct peak,,
0,5396.1,733.5717264,3.864551533,717.309695,5.924136215,CMV,20220125_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.2,1.54,,peaks at end of stim,,**WEIRD OUTLIER
1,5395.8,912.7749786,5.60759431,896.4370975,5.63832063,CMV,20220125_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.2,1.54,,peaks at end of stim,,**WEIRD OUTLIER
2,5394.5,931.6268983,5.227068419,921.9366714,6.491243824,CMV,20220125_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.2,1.54,,peaks at end of stim,,**WEIRD OUTLIER
3,5383.8,965.8978536,6.185219361,956.9977565,7.326410382,CMV,20220125_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.2,1.54,,peaks at end of stim,,**WEIRD OUTLIER
4,5394.8,986.7483731,6.022942613,975.1121533,8.077037481,CMV,20220125_N2A_mp1_CMV1_pos_analyzed.csv,pos,4.2,1.54,,peaks at end of stim,,**WEIRD OUTLIER
0,5246.3,86.91681499,0.964989228,85.17330948,1.333415818,PGK,20220125_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.54,1.43,noisey baseline,peaks all over stim,,
1,5124.6,89.2155594,1.839724786,82.8001708,1.446992773,PGK,20220125_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.54,1.43,noisey baseline,peaks all over stim,,
2,5377,83.79007987,1.156231052,82.42761598,1.106444789,PGK,20220125_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.54,1.43,noisey baseline,peaks all over stim,,
3,5378.8,81.61851666,0.936401502,79.0610528,1.579887239,PGK,20220125_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.54,1.43,noisey baseline,peaks all over stim,,
4,5340.8,82.27364024,1.279608909,76.80524678,1.083652568,PGK,20220125_N2A_mp1_PGK1_pos_analyzed.csv,pos,3.54,1.43,noisey baseline,peaks all over stim,,
0,5308.1,82.94741116,1.360142922,80.22279462,1.319719899,CMV,20220125_N2A_mp1_CMV2_pos_analyzed.csv,pos,4.42,1.55,,peaks all over stim,,
1,5357.3,84.38331471,1.064248257,79.31325509,1.790646465,CMV,20220125_N2A_mp1_CMV2_pos_analyzed.csv,pos,4.42,1.55,,peaks all over stim,,
2,5305.4,84.92200326,1.210812054,80.67368947,1.30486221,CMV,20220125_N2A_mp1_CMV2_pos_analyzed.csv,pos,4.42,1.55,,peaks all over stim,,
3,5121.5,81.69584445,1.673819075,76.44648004,1.783258595,CMV,20220125_N2A_mp1_CMV2_pos_analyzed.csv,pos,4.42,1.55,,peaks all over stim,,
4,5236.7,81.05490863,1.232937561,77.01705499,1.223906296,CMV,20220125_N2A_mp1_CMV2_pos_analyzed.csv,pos,4.42,1.55,,peaks all over stim,,
0,5399.9,53.93704345,0.865281693,51.77199431,1.849797975,PGK,20220201_N2A_mp1_PGK3_pos_analyzed.csv,pos,5.77,1.07,peaks at end of stim,peaks at end of stim,,
1,5394.1,51.73351423,1.296901381,50.50860551,1.029737965,PGK,20220201_N2A_mp1_PGK3_pos_analyzed.csv,pos,5.77,1.07,peaks at end of stim,peaks at end of stim,,
2,5391.4,56.18396817,1.170248948,54.04212942,1.404078753,PGK,20220201_N2A_mp1_PGK3_pos_analyzed.csv,pos,5.77,1.07,peaks at end of stim,peaks at end of stim,,
3,5390.2,56.99442849,0.536757292,55.48194692,1.243616168,PGK,20220201_N2A_mp1_PGK3_pos_analyzed.csv,pos,5.77,1.07,peaks at end of stim,peaks at end of stim,,
4,5370.4,57.7806563,1.482200061,55.56373231,1.642023725,PGK,20220201_N2A_mp1_PGK3_pos_analyzed.csv,pos,5.77,1.07,peaks at end of stim,peaks at end of stim,,
0,5104.2,135.0143532,0.703124272,87.29369267,1.099074839,PGK,20220201_N2A_mp1_PGK4_pos_analyzed.csv,pos,4.88,1.13,weird noise in baseline,,,
1,5104.8,133.2638893,1.036713891,91.72603655,1.26419696,PGK,20220201_N2A_mp1_PGK4_pos_analyzed.csv,pos,4.88,1.13,weird noise in baseline,,,
2,5105.4,132.7532336,1.598502208,96.42891367,1.125914366,PGK,20220201_N2A_mp1_PGK4_pos_analyzed.csv,pos,4.88,1.13,weird noise in baseline,,,
3,5105.8,127.8297863,1.926984857,95.89523152,1.80688737,PGK,20220201_N2A_mp1_PGK4_pos_analyzed.csv,pos,4.88,1.13,weird noise in baseline,,,
4,5107,125.1888262,1.903544109,96.83630807,1.231235967,PGK,20220201_N2A_mp1_PGK4_pos_analyzed.csv,pos,4.88,1.13,weird noise in baseline,,,
0,5105.6,147.6231547,2.825393854,99.42066281,1.640545029,PGK,20220201_N2A_mp1_PGK2_pos_analyzed.csv,pos,5.98,1.65,weird noise in baseline,spread out peaks,,
1,5109.8,105.1868789,2.56196468,87.80199043,1.947953332,PGK,20220201_N2A_mp1_PGK2_pos_analyzed.csv,pos,5.98,1.65,weird noise in baseline,spread out peaks,,
2,5154.2,105.6842988,1.902268456,85.22958135,1.868445327,PGK,20220201_N2A_mp1_PGK2_pos_analyzed.csv,pos,5.98,1.65,weird noise in baseline,spread out peaks,,
3,5188.1,97.59287258,1.844071404,84.85338457,1.833314089,PGK,20220201_N2A_mp1_PGK2_pos_analyzed.csv,pos,5.98,1.65,weird noise in baseline,spread out peaks,,
4,5159.8,91.57787308,1.062516132,82.63820585,1.653334213,PGK,20220201_N2A_mp1_PGK2_pos_analyzed.csv,pos,5.98,1.65,weird noise in baseline,spread out peaks,,
0,5105,220.5026606,1.79027881,116.5200062,1.429785836,CMV,20220201_N2A_mp1_CMV1_pos_analyzed.csv,pos,5.23,1.25,,,,
1,5105.3,204.0296245,2.792739978,112.9305585,1.749813245,CMV,20220201_N2A_mp1_CMV1_pos_analyzed.csv,pos,5.23,1.25,,,,
2,5106.8,186.3468022,2.076205023,113.183307,1.533129058,CMV,20220201_N2A_mp1_CMV1_pos_analyzed.csv,pos,5.23,1.25,,,,
3,5107,175.098371,2.178893333,111.5014089,1.356054618,CMV,20220201_N2A_mp1_CMV1_pos_analyzed.csv,pos,5.23,1.25,,,,
4,5108.3,165.0180422,2.404994112,120.9278627,1.591415506,CMV,20220201_N2A_mp1_CMV1_pos_analyzed.csv,pos,5.23,1.25,,,,
0,5392.2,73.02826846,1.187008569,72.29469505,0.855883773,PGK,20220201_N2A_mp1_PGK1_pos_analyzed.csv,pos,5.35,1.43,baseline seemed to shift?,no distinct peak,,
1,5383.4,72.01628312,1.263578979,70.73435853,0.826123021,PGK,20220201_N2A_mp1_PGK1_pos_analyzed.csv,pos,5.35,1.43,baseline seemed to shift?,no distinct peak,,
2,5379.2,66.61260094,0.751117625,65.26914197,0.769883728,PGK,20220201_N2A_mp1_PGK1_pos_analyzed.csv,pos,5.35,1.43,baseline seemed to shift?,no distinct peak,,
3,5376,63.79156381,0.972005228,62.61619325,0.741813199,PGK,20220201_N2A_mp1_PGK1_pos_analyzed.csv,pos,5.35,1.43,baseline seemed to shift?,no distinct peak,,
4,5388.7,64.39610058,0.872096224,63.38196342,0.805121327,PGK,20220201_N2A_mp1_PGK1_pos_analyzed.csv,pos,5.35,1.43,baseline seemed to shift?,no distinct peak,,
0,5368.5,66.57632536,1.428711013,65.26448998,1.144957918,WT,20220209_N2A_WT5_pos_analyzed.csv,pos,5.29,1.88,,peaks at end of stim,,
1,5244.9,64.84355081,1.517952144,62.80063441,1.178583639,WT,20220209_N2A_WT5_pos_analyzed.csv,pos,5.29,1.88,,peaks at end of stim,,
2,5362.9,61.95216887,1.202526383,60.577243,1.163765444,WT,20220209_N2A_WT5_pos_analyzed.csv,pos,5.29,1.88,,peaks at end of stim,,
3,5367.8,60.36087832,2.075624422,59.51732256,1.147037178,WT,20220209_N2A_WT5_pos_analyzed.csv,pos,5.29,1.88,,peaks at end of stim,,
4,5388.4,58.75472779,1.383106125,56.32298106,1.426721622,WT,20220209_N2A_WT5_pos_analyzed.csv,pos,5.29,1.88,,peaks at end of stim,,
0,5367.4,99.72578502,0.831353936,98.28620981,0.878796249,WT,20220209_N2A_WT2_pos_analyzed.csv,pos,5.24,1.42,baseline seemed to shift?,peaks at end of stim,,
1,5399.8,94.61449689,1.243404089,94.04200128,0.819122168,WT,20220209_N2A_WT2_pos_analyzed.csv,pos,5.24,1.42,baseline seemed to shift?,peaks at end of stim,,
2,5399.9,84.28504766,1.04839837,81.65764016,0.940292624,WT,20220209_N2A_WT2_pos_analyzed.csv,pos,5.24,1.42,baseline seemed to shift?,peaks at end of stim,,
3,5362.4,80.45245749,0.995442002,79.40747702,0.869012328,WT,20220209_N2A_WT2_pos_analyzed.csv,pos,5.24,1.42,baseline seemed to shift?,peaks at end of stim,,
4,5399.9,75.98073624,1.378643641,75.60997649,0.858206793,WT,20220209_N2A_WT2_pos_analyzed.csv,pos,5.24,1.42,baseline seemed to shift?,peaks at end of stim,,
0,5294,50.73664483,0.639045644,50.20807821,0.700226345,WT,20220209_N2A_WT3_pos_analyzed.csv,pos,5.66,1.88,,peaks at end of stim,,
1,5384,52.9307372,0.906320627,52.21710215,0.738563996,WT,20220209_N2A_WT3_pos_analyzed.csv,pos,5.66,1.88,,peaks at end of stim,,
2,5356.9,50.57549768,0.754985929,48.58352069,0.6454423,WT,20220209_N2A_WT3_pos_analyzed.csv,pos,5.66,1.88,,peaks at end of stim,,
3,5390.6,48.77200484,1.20050725,48.92248907,0.578902468,WT,20220209_N2A_WT3_pos_analyzed.csv,pos,5.66,1.88,,peaks at end of stim,,
4,5379,50.22138385,0.570083555,49.59374058,0.60119489,WT,20220209_N2A_WT3_pos_analyzed.csv,pos,5.66,1.88,,peaks at end of stim,,
0,5362.2,57.87081805,0.698276142,56.62659286,0.657056751,WT,20220209_N2A_WT4_pos_analyzed.csv,pos,5.23,1.37,,peaks at end of stim,,
1,5286.9,55.15387603,1.078699874,53.90154953,0.808959213,WT,20220209_N2A_WT4_pos_analyzed.csv,pos,5.23,1.37,,peaks at end of stim,,
2,5359.3,53.57995039,0.945787051,52.29599998,0.700881692,WT,20220209_N2A_WT4_pos_analyzed.csv,pos,5.23,1.37,,peaks at end of stim,,
3,5378.2,53.74658504,0.889892611,52.8492851,0.704751768,WT,20220209_N2A_WT4_pos_analyzed.csv,pos,5.23,1.37,,peaks at end of stim,,
4,5331.6,52.05390839,0.764884426,49.8536526,0.874472529,WT,20220209_N2A_WT4_pos_analyzed.csv,pos,5.23,1.37,,peaks at end of stim,,
0,5369.1,67.17968504,0.986085015,66.37834635,0.727179406,WT,20220209_N2A_WT1_pos_analyzed.csv,pos,4.94,1.07,noisey baseline,peaks all over stim,,
1,5322.4,66.90739343,0.590902867,64.36846947,0.884330062,WT,20220209_N2A_WT1_pos_analyzed.csv,pos,4.94,1.07,noisey baseline,peaks all over stim,,
2,5270.9,67.69909141,1.367791056,65.45443757,0.890222882,WT,20220209_N2A_WT1_pos_analyzed.csv,pos,4.94,1.07,noisey baseline,peaks all over stim,,
3,5198.3,65.49071366,1.101981412,60.8736662,0.803852253,WT,20220209_N2A_WT1_pos_analyzed.csv,pos,4.94,1.07,noisey baseline,peaks all over stim,,
4,5255.6,88.91435952,4.654051592,70.66379561,2.955757298,WT,20220209_N2A_WT1_pos_analyzed.csv,pos,4.94,1.07,noisey baseline,peaks all over stim,,